#H 	 m 

-4.55396	-0.99978
-4.55296	-0.99978
-4.55196	-0.99978
-4.55096	-0.99978
-4.54995	-0.99978
-4.54895	-0.99978
-4.54795	-0.99978
-4.54695	-0.99978
-4.54595	-0.99978
-4.54495	-0.99978
-4.54395	-0.99976
-4.54295	-0.99976
-4.54195	-0.99976
-4.54095	-0.99976
-4.53995	-0.99976
-4.53895	-0.99976
-4.53795	-0.99976
-4.53695	-0.99976
-4.53595	-0.99976
-4.53495	-0.99976
-4.53395	-0.99976
-4.53295	-0.99976
-4.53195	-0.99976
-4.53095	-0.99976
-4.52995	-0.99976
-4.52895	-0.99976
-4.52795	-0.99976
-4.52695	-0.99976
-4.52595	-0.99976
-4.52495	-0.99976
-4.52395	-0.99976
-4.52295	-0.99976
-4.52195	-0.99976
-4.52095	-0.99976
-4.51995	-0.99976
-4.51895	-0.99976
-4.51795	-0.99976
-4.51695	-0.99976
-4.51595	-0.99976
-4.51495	-0.99976
-4.51395	-0.99976
-4.51295	-0.99976
-4.51195	-0.99974
-4.51095	-0.99974
-4.50995	-0.99974
-4.50895	-0.99974
-4.50795	-0.99974
-4.50695	-0.99974
-4.50595	-0.99974
-4.50495	-0.99974
-4.50395	-0.99974
-4.50295	-0.99974
-4.50195	-0.99974
-4.50095	-0.99974
-4.49995	-0.99974
-4.49895	-0.99972
-4.49795	-0.99972
-4.49695	-0.99972
-4.49595	-0.99972
-4.49495	-0.99972
-4.49395	-0.99972
-4.49295	-0.99972
-4.49195	-0.99972
-4.49095	-0.99972
-4.48995	-0.99972
-4.48895	-0.99972
-4.48795	-0.99972
-4.48695	-0.99972
-4.48595	-0.99972
-4.48495	-0.99972
-4.48395	-0.99972
-4.48295	-0.99972
-4.48195	-0.99972
-4.48095	-0.99972
-4.47995	-0.99972
-4.47895	-0.99972
-4.47795	-0.99972
-4.47695	-0.99972
-4.47595	-0.99972
-4.47495	-0.99972
-4.47395	-0.99972
-4.47295	-0.99972
-4.47195	-0.99972
-4.47095	-0.99972
-4.46995	-0.99972
-4.46895	-0.99972
-4.46795	-0.99972
-4.46695	-0.99972
-4.46595	-0.99972
-4.46495	-0.99972
-4.46395	-0.99972
-4.46295	-0.99972
-4.46195	-0.99972
-4.46095	-0.99972
-4.45995	-0.99972
-4.45895	-0.9997
-4.45795	-0.9997
-4.45695	-0.9997
-4.45595	-0.9997
-4.45495	-0.9997
-4.45395	-0.9997
-4.45295	-0.9997
-4.45195	-0.9997
-4.45095	-0.9997
-4.44994	-0.9997
-4.44894	-0.99968
-4.44794	-0.99968
-4.44694	-0.99968
-4.44594	-0.99968
-4.44494	-0.99968
-4.44394	-0.99968
-4.44294	-0.99968
-4.44194	-0.99968
-4.44094	-0.99968
-4.43994	-0.99968
-4.43894	-0.99968
-4.43794	-0.99968
-4.43694	-0.99968
-4.43594	-0.99968
-4.43494	-0.99968
-4.43394	-0.99968
-4.43294	-0.99968
-4.43194	-0.99968
-4.43094	-0.99968
-4.42994	-0.99966
-4.42894	-0.99966
-4.42794	-0.99966
-4.42694	-0.99966
-4.42594	-0.99966
-4.42494	-0.99966
-4.42394	-0.99966
-4.42294	-0.99966
-4.42194	-0.99966
-4.42094	-0.99966
-4.41994	-0.99966
-4.41894	-0.99966
-4.41794	-0.99966
-4.41694	-0.99966
-4.41594	-0.99966
-4.41494	-0.99966
-4.41394	-0.99966
-4.41294	-0.99966
-4.41194	-0.99966
-4.41094	-0.99966
-4.40994	-0.99966
-4.40894	-0.99966
-4.40794	-0.99966
-4.40694	-0.99966
-4.40594	-0.99966
-4.40494	-0.99966
-4.40394	-0.99966
-4.40294	-0.99966
-4.40194	-0.99966
-4.40094	-0.99966
-4.39994	-0.99966
-4.39894	-0.99966
-4.39794	-0.99966
-4.39694	-0.99966
-4.39594	-0.99966
-4.39494	-0.99966
-4.39394	-0.99966
-4.39294	-0.99966
-4.39194	-0.99966
-4.39094	-0.99966
-4.38994	-0.99966
-4.38894	-0.99966
-4.38794	-0.99966
-4.38694	-0.99966
-4.38594	-0.99966
-4.38494	-0.99966
-4.38394	-0.99966
-4.38294	-0.99966
-4.38194	-0.99966
-4.38094	-0.99966
-4.37994	-0.99966
-4.37894	-0.99966
-4.37794	-0.99966
-4.37694	-0.99966
-4.37594	-0.99966
-4.37494	-0.99966
-4.37394	-0.99966
-4.37294	-0.99966
-4.37194	-0.99966
-4.37094	-0.99966
-4.36994	-0.99966
-4.36894	-0.99966
-4.36794	-0.99966
-4.36694	-0.99966
-4.36594	-0.99966
-4.36494	-0.99966
-4.36394	-0.99966
-4.36294	-0.99966
-4.36194	-0.99966
-4.36094	-0.99966
-4.35994	-0.99966
-4.35894	-0.99966
-4.35794	-0.99966
-4.35694	-0.99966
-4.35594	-0.99966
-4.35494	-0.99966
-4.35394	-0.99966
-4.35294	-0.99966
-4.35194	-0.99966
-4.35094	-0.99966
-4.34993	-0.99966
-4.34893	-0.99966
-4.34793	-0.99966
-4.34693	-0.99966
-4.34593	-0.99966
-4.34493	-0.99966
-4.34393	-0.99966
-4.34293	-0.99966
-4.34193	-0.99966
-4.34093	-0.99966
-4.33993	-0.99966
-4.33893	-0.99966
-4.33793	-0.99966
-4.33693	-0.99966
-4.33593	-0.99966
-4.33493	-0.99966
-4.33393	-0.99966
-4.33293	-0.99966
-4.33193	-0.99966
-4.33093	-0.99966
-4.32993	-0.99966
-4.32893	-0.99966
-4.32793	-0.99964
-4.32693	-0.99964
-4.32593	-0.99964
-4.32493	-0.99964
-4.32393	-0.99964
-4.32293	-0.99964
-4.32193	-0.99964
-4.32093	-0.99964
-4.31993	-0.99964
-4.31893	-0.99964
-4.31793	-0.99964
-4.31693	-0.99964
-4.31593	-0.99964
-4.31493	-0.99964
-4.31393	-0.99964
-4.31293	-0.99964
-4.31193	-0.99964
-4.31093	-0.99964
-4.30993	-0.99964
-4.30893	-0.99964
-4.30793	-0.99964
-4.30693	-0.99964
-4.30593	-0.99964
-4.30493	-0.99964
-4.30393	-0.99964
-4.30293	-0.99964
-4.30193	-0.99964
-4.30093	-0.99964
-4.29993	-0.99964
-4.29893	-0.99964
-4.29793	-0.99964
-4.29693	-0.99964
-4.29593	-0.99962
-4.29493	-0.9996
-4.29393	-0.9996
-4.29293	-0.9996
-4.29193	-0.9996
-4.29093	-0.9996
-4.28993	-0.9996
-4.28893	-0.9996
-4.28793	-0.9996
-4.28693	-0.9996
-4.28593	-0.9996
-4.28493	-0.99958
-4.28393	-0.99958
-4.28293	-0.99958
-4.28193	-0.99958
-4.28093	-0.99958
-4.27993	-0.99958
-4.27893	-0.99958
-4.27793	-0.99958
-4.27693	-0.99958
-4.27593	-0.99958
-4.27493	-0.99958
-4.27393	-0.99958
-4.27293	-0.99958
-4.27193	-0.99958
-4.27093	-0.99958
-4.26993	-0.99958
-4.26893	-0.99958
-4.26793	-0.99958
-4.26693	-0.99958
-4.26593	-0.99958
-4.26493	-0.99958
-4.26393	-0.99958
-4.26293	-0.99958
-4.26193	-0.99958
-4.26093	-0.99958
-4.25993	-0.99958
-4.25893	-0.99958
-4.25793	-0.99956
-4.25693	-0.99956
