t vsx vsy Ekin Epot T 
1.65 1.249000903e-16 -1.387778781e-16 15 -5.978986756 1
1.66 1.110223025e-16 -1.873501354e-16 15 -6.610839074 1
1.67 1.179611964e-16 -1.387778781e-16 15 -7.96621817 1
1.68 7.979727989e-17 -1.804112415e-16 15 -9.451352268 1
1.69 1.144917494e-16 -1.734723476e-16 15 -10.63391031 1
1.7 1.040834086e-16 -1.873501354e-16 15 -11.42652542 1
1.71 8.67361738e-17 -1.734723476e-16 15 -11.89931687 1
1.72 9.714451465e-17 -1.873501354e-16 15 -12.1413463 1
1.73 9.714451465e-17 -2.359223927e-16 15 -12.2275069 1
1.74 8.326672685e-17 -2.359223927e-16 15 -12.21501649 1
1.75 1.040834086e-16 -1.873501354e-16 15 -12.14233512 1
1.76 1.110223025e-16 -1.595945598e-16 15 -12.03843988 1
1.77 6.938893904e-17 -1.734723476e-16 15 -11.91497712 1
1.78 9.714451465e-17 -1.45716772e-16 15 -11.78414581 1
1.79 9.020562075e-17 -1.595945598e-16 15 -11.64302887 1
1.8 8.326672685e-17 -1.804112415e-16 15 -11.48696077 1
1.81 6.938893904e-17 -1.526556659e-16 15 -11.3113992 1
1.82 2.775557562e-17 -2.012279232e-16 15 -11.10805821 1
1.83 4.857225733e-17 -2.15105711e-16 15 -10.87313603 1
1.84 4.163336342e-17 -2.15105711e-16 15 -10.59877138 1
1.85 3.469446952e-17 -2.012279232e-16 15 -10.27496037 1
1.86 4.857225733e-17 -2.15105711e-16 15 -9.890078776 1
1.87 2.775557562e-17 -2.081668171e-16 15 -9.434043532 1
1.88 3.469446952e-17 -2.428612866e-16 15 -8.919551583 1
1.89 4.163336342e-17 -2.636779683e-16 15 -8.395234807 1
1.9 6.938893904e-17 -3.053113318e-16 15 -7.959343536 1
1.91 3.469446952e-17 -3.053113318e-16 15 -7.722270712 1
1.92 3.122502257e-17 -2.498001805e-16 15 -7.740550327 1
1.93 5.377642776e-17 -2.775557562e-16 15 -7.980750014 1
1.94 3.6429193e-17 -2.91433544e-16 15 -8.339382561 1
1.95 -1.734723476e-18 -2.775557562e-16 15 -8.707310696 1
1.96 -1.539567085e-17 -2.775557562e-16 15 -9.0118934 1
1.97 -2.385244779e-18 -3.053113318e-16 15 -9.222313907 1
1.98 -3.989863995e-17 -2.498001805e-16 15 -9.336980627 1
1.99 -1.344410694e-17 -2.359223927e-16 15 -9.369393583 1
2 -7.372574773e-17 -2.220446049e-16 15 -9.338359824 1
2.01 -1.118896642e-16 -2.498001805e-16 15 -9.26262516 1
2.02 -1.014813233e-16 -2.498001805e-16 15 -9.158482689 1
2.03 -5.551115123e-17 -2.220446049e-16 15 -9.040045933 1
2.04 -5.984795992e-17 -2.498001805e-16 15 -8.91546322 1
2.05 -5.03069808e-17 -2.498001805e-16 15 -8.791275122 1
2.06 -3.6429193e-17 -2.775557562e-16 15 -8.676769685 1
2.07 -4.423544864e-17 -2.220446049e-16 15 -8.573771653 1
2.08 -6.418476861e-17 -2.498001805e-16 15 -8.483927215 1
2.09 -1.95156391e-17 -2.498001805e-16 15 -8.411912712 1
2.1 -5.702903427e-17 -2.775557562e-16 15 -8.355845162 1
2.11 -7.958043946e-17 -2.220446049e-16 15 -8.318252457 1
2.12 -9.606031248e-17 -1.942890293e-16 15 -8.297329765 1
2.13 -1.178527761e-16 -2.220446049e-16 15 -8.294814219 1
2.14 -9.801187639e-17 -2.359223927e-16 15 -8.308202425 1
2.15 -1.256319267e-16 -2.498001805e-16 15 -8.337415477 1
2.16 -9.860818759e-17 -2.359223927e-16 15 -8.38089827 1
2.17 -9.725293487e-17 -2.220446049e-16 15 -8.436409375 1
2.18 -9.063930162e-17 -2.359223927e-16 15 -8.50086633 1
2.19 -8.760353554e-17 -1.942890293e-16 15 -8.570056246 1
2.2 -8.73866951e-17 -2.220446049e-16 15 -8.63954852 1
2.21 -1.151422707e-16 -2.498001805e-16 15 -8.701773676 1
2.22 -7.719519468e-17 -2.636779683e-16 15 -8.7483202 1
2.23 -5.421010862e-17 -2.359223927e-16 15 -8.771993162 1
2.24 -6.375108774e-17 -2.359223927e-16 15 -8.769735365 1
2.25 -4.33680869e-17 -3.053113318e-16 15 -8.740519947 1
2.26 -4.076600169e-17 -2.636779683e-16 15 -8.691941979 1
2.27 -5.551115123e-17 -2.775557562e-16 15 -8.639774981 1
2.28 -9.194034423e-17 -2.775557562e-16 15 -8.604102251 1
2.29 -8.933825901e-17 -2.359223927e-16 15 -8.601398805 1
2.3 -9.974659987e-17 -2.359223927e-16 15 -8.637909767 1
2.31 -9.974659987e-17 -1.665334537e-16 15 -8.711510112 1
2.32 -8.67361738e-17 -2.636779683e-16 15 -8.82260716 1
2.33 -9.627715292e-17 -1.804112415e-16 15 -8.985183176 1
2.34 -9.36750677e-17 -2.220446049e-16 15 -9.219888513 1
2.35 -8.500145032e-17 -2.359223927e-16 15 -9.54281388 1
2.36 -8.67361738e-17 -2.775557562e-16 15 -9.944840197 1
2.37 -1.006139616e-16 -2.636779683e-16 15 -10.39293498 1
2.38 -1.318389842e-16 -2.498001805e-16 15 -10.84209934 1
2.39 -9.020562075e-17 -2.359223927e-16 15 -11.25218805 1
2.4 -7.806255642e-17 -3.053113318e-16 15 -11.59999694 1
2.41 -7.285838599e-17 -3.191891196e-16 15 -11.86811257 1
2.42 -1.162264729e-16 -3.60822483e-16 15 -12.04317361 1
2.43 -9.540979118e-17 -2.775557562e-16 15 -12.11461077 1
2.44 -6.938893904e-17 -2.498001805e-16 15 -12.06888248 1
2.45 -9.36750677e-17 -2.775557562e-16 15 -11.89987139 1
2.46 -5.898059818e-17 -2.775557562e-16 15 -11.6143769 1
2.47 -4.857225733e-17 -3.053113318e-16 15 -11.245897 1
2.48 -6.938893904e-17 -3.330669074e-16 15 -10.84937385 1
2.49 -1.734723476e-17 -3.053113318e-16 15 -10.47171329 1
2.5 1.040834086e-17 -3.60822483e-16 15 -10.14313234 1
2.51 1.040834086e-17 -3.053113318e-16 15 -9.892344357 1
2.52 -1.734723476e-17 -3.053113318e-16 15 -9.779506106 1
2.53 -6.938893904e-18 -3.330669074e-16 15 -9.86294059 1
2.54 -2.428612866e-17 -2.775557562e-16 15 -10.12465689 1
2.55 1.561251128e-17 -3.053113318e-16 15 -10.45284163 1
2.56 8.67361738e-19 -3.053113318e-16 15 -10.70400593 1
2.57 -1.474514955e-17 -2.775557562e-16 15 -10.7689791 1
2.58 -2.775557562e-17 -2.636779683e-16 15 -10.59499868 1
2.59 -7.632783294e-17 -2.775557562e-16 15 -10.19727856 1
2.6 -4.857225733e-17 -2.636779683e-16 15 -9.720509711 1
2.61 -4.163336342e-17 -2.15105711e-16 15 -9.467351756 1
2.62 0 -2.654126918e-16 15 -9.6884634 1
2.63 -2.775557562e-17 -2.255140519e-16 15 -10.25513371 1
2.64 -2.775557562e-17 -2.359223927e-16 15 -10.78736135 1
2.65 -1.387778781e-17 -2.359223927e-16 15 -11.06120792 1
2.66 0 -2.706168623e-16 15 -11.10813289 1
2.67 0 -2.359223927e-16 15 -11.0828403 1
2.68 2.775557562e-17 -2.498001805e-16 15 -11.13050033 1
2.69 0 -2.636779683e-16 15 -11.32040801 1
2.7 1.387778781e-17 -2.636779683e-16 15 -11.63156498 1
2.71 -1.387778781e-17 -2.775557562e-16 15 -11.98221581 1
2.72 2.775557562e-17 -2.636779683e-16 15 -12.28321277 1
2.73 2.775557562e-17 -2.983724379e-16 15 -12.47759242 1
2.74 0 -3.191891196e-16 15 -12.54795088 1
2.75 0 -2.844946501e-16 15 -12.50405811 1
2.76 -1.387778781e-17 -3.053113318e-16 15 -12.36972019 1
2.77 -1.387778781e-17 -2.844946501e-16 15 -12.17106688 1
2.78 -1.387778781e-17 -3.191891196e-16 15 -11.9405932 1
2.79 0 -3.053113318e-16 15 -11.71335984 1
2.8 -1.387778781e-17 -3.053113318e-16 15 -11.52352965 1
