t vsx vsy Ekin Epot T 
1.53 1.335737077e-16 -3.417405248e-16 21.38088409 -8.62645168 1.425392273
1.54 1.526556659e-16 -3.313321839e-16 21.56311776 -8.813758051 1.437541184
1.55 1.491862189e-16 -3.538835891e-16 21.80838579 -9.060129354 1.453892386
1.56 1.700029006e-16 -3.365363543e-16 22.08101132 -9.329965075 1.472067421
1.57 1.942890293e-16 -3.677613769e-16 22.37728175 -9.625902044 1.491818784
1.58 1.942890293e-16 -3.573530361e-16 22.69345394 -9.941912888 1.512896929
1.59 1.942890293e-16 -3.452099717e-16 23.0130175 -10.26388345 1.534201166
1.6 1.595945598e-16 -3.382710778e-16 23.31120966 -10.56337468 1.554080644
1.61 1.769417945e-16 -3.521488656e-16 23.56412815 -10.81707044 1.570941876
1.62 1.838806885e-16 -3.781697178e-16 23.75462776 -11.00776801 1.583641851
1.63 1.908195824e-16 -3.729655473e-16 23.87381671 -11.12672447 1.59158778
1.64 1.838806885e-16 -2.949029909e-16 23.91956897 -11.17108627 1.594637931
1.65 2.671474153e-16 -4.076600169e-16 23.89352439 -11.14468826 1.592901626
1.66 2.116362641e-16 -3.504141421e-16 23.79770932 -11.04980177 1.586513954
1.67 1.942890293e-16 -3.694961004e-16 23.6318646 -10.88426853 1.57545764
1.68 2.359223927e-16 -3.295974604e-16 23.3927274 -10.64468126 1.55951516
1.69 2.220446049e-16 -3.122502257e-16 23.07661136 -10.32885372 1.538440757
1.7 2.359223927e-16 -3.434752482e-16 22.68716827 -9.938505384 1.512477884
1.71 2.359223927e-16 -3.452099717e-16 22.24825614 -9.496502088 1.483217076
1.72 2.012279232e-16 -3.764349943e-16 21.81515514 -9.057218834 1.454343676
1.73 2.289834988e-16 -3.295974604e-16 21.46883728 -8.704914055 1.431255818
1.74 2.428612866e-16 -3.053113318e-16 21.28197611 -8.516636184 1.418798407
1.75 2.775557562e-16 -3.452099717e-16 21.27438446 -8.512338822 1.418292298
1.76 2.636779683e-16 -3.001071613e-16 21.3993199 -8.644679592 1.426621327
1.77 2.91433544e-16 -3.070460552e-16 21.57551945 -8.825179607 1.438367963
1.78 2.359223927e-16 -2.636779683e-16 21.73202462 -8.982575798 1.448801641
1.79 2.359223927e-16 -2.91433544e-16 21.83015679 -9.082639311 1.455343786
1.8 2.289834988e-16 -3.122502257e-16 21.86006699 -9.111632747 1.4573378
1.81 2.428612866e-16 -3.382710778e-16 21.82798257 -9.07843964 1.455198838
1.82 2.359223927e-16 -3.469446952e-16 21.74618103 -8.9965392 1.449745402
1.83 2.498001805e-16 -3.365363543e-16 21.6287277 -8.879012673 1.44191518
1.84 2.359223927e-16 -3.269953752e-16 21.49145685 -8.740472899 1.43276379
1.85 2.636779683e-16 -2.992397996e-16 21.35387928 -8.600340663 1.423591952
1.86 2.359223927e-16 -2.31585584e-16 21.2401235 -8.483829639 1.416008233
1.87 2.775557562e-16 -2.749536709e-16 21.17629321 -8.418531583 1.411752881
1.88 2.706168623e-16 -2.827599266e-16 21.1836705 -8.42440469 1.4122447
1.89 2.359223927e-16 -2.480654571e-16 21.26972622 -8.511439831 1.417981748
1.9 2.359223927e-16 -3.2439329e-16 21.42074742 -8.667234662 1.428049828
1.91 2.428612866e-16 -3.295974604e-16 21.59741046 -8.85004262 1.439827364
1.92 2.289834988e-16 -2.636779683e-16 21.72865136 -8.990167666 1.448576757
1.93 2.636779683e-16 -2.454633719e-16 21.69603203 -8.972825209 1.446402135
1.94 2.775557562e-16 -2.229119667e-16 21.31036726 -8.611384966 1.420691151
1.95 2.775557562e-16 -2.853620118e-16 20.33245455 -7.653585106 1.35549697
1.96 2.844946501e-16 -2.766883944e-16 18.70847259 -6.003340759 1.247231506
1.97 2.844946501e-16 -2.567390744e-16 17.09930116 -4.301398081 1.139953411
1.98 2.498001805e-16 -2.732189475e-16 16.74304611 -3.929099204 1.116203074
1.99 2.428612866e-16 -2.576064362e-16 17.83266933 -5.116957001 1.188844622
2 2.844946501e-16 -2.177077962e-16 19.16950349 -6.503487528 1.277966899
2.01 2.498001805e-16 -2.424276058e-16 19.82736508 -7.15244405 1.321824339
2.02 2.012279232e-16 -2.693158196e-16 19.71417068 -7.016584396 1.314278045
2.03 2.498001805e-16 -2.333203075e-16 19.10188245 -6.379100566 1.27345883
2.04 2.289834988e-16 -2.206351421e-16 18.37020633 -5.617896877 1.224680422
2.05 2.636779683e-16 -2.022579153e-16 17.94753397 -5.173606816 1.196502265
2.06 2.498001805e-16 -1.851817311e-16 18.11586527 -5.348293909 1.207724352
2.07 2.289834988e-16 -1.875669758e-16 18.78942745 -6.044696822 1.252628497
2.08 2.636779683e-16 -1.984089976e-16 19.63432369 -6.905148529 1.308954913
2.09 2.706168623e-16 -2.255140519e-16 20.38016959 -7.652161845 1.358677973
2.1 2.428612866e-16 -2.02095285e-16 20.93076039 -8.199937695 1.395384026
2.11 2.289834988e-16 -2.181414771e-16 21.28200493 -8.550155768 1.418800329
2.12 2.289834988e-16 -2.168404345e-16 21.42992872 -8.70007849 1.428661915
2.13 2.081668171e-16 -2.567390744e-16 21.33572763 -8.610786769 1.422381842
2.14 2.498001805e-16 -2.636779683e-16 20.94567339 -8.224206982 1.396378226
2.15 2.220446049e-16 -2.437286484e-16 20.27479148 -7.544547211 1.351652766
2.16 2.220446049e-16 -2.654126918e-16 19.53849904 -6.780193777 1.302566602
2.17 2.081668171e-16 -2.654126918e-16 19.15253795 -6.374085539 1.276835863
2.18 2.220446049e-16 -2.498001805e-16 19.38653256 -6.625837374 1.292435504
