# n      x1       x2       g1      g2      eps

199  1.49531  2.29711  -0.629777  -0.388124  1.92782
200  1.49526  2.29708  -0.629597  -0.388013  1.9277
201  1.49522  2.29705  -0.629417  -0.387901  1.92758
202  1.49517  2.29702  -0.629237  -0.387788  1.92746
203  1.49512  2.29699  -0.629055  -0.387675  1.92734
204  1.49508  2.29696  -0.628872  -0.387561  1.92722
205  1.49503  2.29694  -0.628689  -0.387447  1.92709
206  1.49498  2.29691  -0.628505  -0.387332  1.92697
207  1.49493  2.29688  -0.62832  -0.387217  1.92685
208  1.49489  2.29685  -0.628134  -0.387101  1.92673
209  1.49484  2.29682  -0.627947  -0.386985  1.9266
210  1.49479  2.29679  -0.62776  -0.386868  1.92648
211  1.49474  2.29676  -0.627572  -0.386751  1.92635
212  1.49469  2.29673  -0.627382  -0.386633  1.92623
213  1.49464  2.2967  -0.627192  -0.386514  1.9261
214  1.4946  2.29667  -0.627001  -0.386396  1.92597
215  1.49455  2.29664  -0.62681  -0.386276  1.92585
216  1.4945  2.29661  -0.626617  -0.386156  1.92572
217  1.49445  2.29658  -0.626424  -0.386036  1.92559
218  1.4944  2.29655  -0.62623  -0.385915  1.92546
219  1.49435  2.29652  -0.626035  -0.385793  1.92533
220  1.4943  2.29648  -0.625839  -0.385671  1.9252
221  1.49425  2.29645  -0.625642  -0.385549  1.92507
222  1.4942  2.29642  -0.625445  -0.385426  1.92494
223  1.49415  2.29639  -0.625247  -0.385302  1.92481
224  1.4941  2.29636  -0.625048  -0.385178  1.92468
225  1.49404  2.29633  -0.624848  -0.385054  1.92455
226  1.49399  2.2963  -0.624647  -0.384929  1.92441
227  1.49394  2.29627  -0.624446  -0.384803  1.92428
228  1.49389  2.29623  -0.624243  -0.384677  1.92415
229  1.49384  2.2962  -0.62404  -0.384551  1.92401
230  1.49379  2.29617  -0.623836  -0.384424  1.92388
231  1.49373  2.29614  -0.623631  -0.384296  1.92374
232  1.49368  2.2961  -0.623426  -0.384168  1.92361
233  1.49363  2.29607  -0.623219  -0.38404  1.92347
234  1.49357  2.29604  -0.623012  -0.383911  1.92333
235  1.49352  2.29601  -0.622804  -0.383781  1.9232
236  1.49347  2.29597  -0.622595  -0.383651  1.92306
237  1.49341  2.29594  -0.622385  -0.38352  1.92292
238  1.49336  2.29591  -0.622175  -0.383389  1.92278
239  1.49331  2.29587  -0.621964  -0.383258  1.92264
240  1.49325  2.29584  -0.621752  -0.383126  1.9225
241  1.4932  2.29581  -0.621539  -0.382993  1.92236
242  1.49314  2.29577  -0.621325  -0.38286  1.92222
243  1.49309  2.29574  -0.621111  -0.382726  1.92208
244  1.49303  2.29571  -0.620895  -0.382592  1.92194
245  1.49298  2.29567  -0.620679  -0.382458  1.9218
246  1.49292  2.29564  -0.620462  -0.382323  1.92165
247  1.49287  2.2956  -0.620245  -0.382187  1.92151
248  1.49281  2.29557  -0.620026  -0.382051  1.92137
249  1.49276  2.29554  -0.619807  -0.381915  1.92122
250  1.4927  2.2955  -0.619587  -0.381778  1.92108
251  1.49265  2.29547  -0.619366  -0.38164  1.92093
252  1.49259  2.29543  -0.619144  -0.381502  1.92079
253  1.49253  2.2954  -0.618922  -0.381364  1.92064
254  1.49248  2.29536  -0.618699  -0.381225  1.92049
255  1.49242  2.29533  -0.618475  -0.381085  1.92035
256  1.49236  2.29529  -0.61825  -0.380945  1.9202
257  1.4923  2.29526  -0.618024  -0.380805  1.92005
258  1.49225  2.29522  -0.617798  -0.380664  1.9199
259  1.49219  2.29518  -0.617571  -0.380522  1.91975
260  1.49213  2.29515  -0.617343  -0.38038  1.9196
261  1.49207  2.29511  -0.617114  -0.380238  1.91945
