# n      x1       x2       g1      g2      eps

284  -0.0868124  -0.236198  10.6373  48.7469  2.70935
285  -0.0860227  -0.234455  10.4941  48.3709  2.70332
286  -0.0852417  -0.232721  10.3533  47.9975  2.69735
287  -0.0844692  -0.230997  10.2149  47.6265  2.69143
288  -0.0837052  -0.229283  10.0789  47.258  2.68555
289  -0.0829496  -0.227579  9.94526  46.8919  2.67973
290  -0.0822023  -0.225884  9.81389  46.5282  2.67395
291  -0.0814632  -0.224199  9.68478  46.167  2.66823
292  -0.0807323  -0.222523  9.5579  45.8082  2.66255
293  -0.0800095  -0.220857  9.43319  45.4517  2.65691
294  -0.0792947  -0.219201  9.31064  45.0977  2.65133
295  -0.0785878  -0.217554  9.19019  44.746  2.64579
296  -0.0778888  -0.215917  9.07182  44.3967  2.6403
297  -0.0771975  -0.214289  8.95549  44.0498  2.63485
298  -0.076514  -0.212671  8.84117  43.7051  2.62945
299  -0.0758381  -0.211063  8.72882  43.3629  2.6241
300  -0.0751697  -0.209464  8.61841  43.0229  2.61879
301  -0.0745088  -0.207875  8.5099  42.6853  2.61353
302  -0.0738553  -0.206295  8.40327  42.3499  2.60831
303  -0.0732091  -0.204725  8.29848  42.0168  2.60314
304  -0.0725702  -0.203164  8.1955  41.686  2.59801
305  -0.0719385  -0.201612  8.0943  41.3575  2.59292
306  -0.0713138  -0.200071  7.99485  41.0313  2.58788
307  -0.0706962  -0.198538  7.89712  40.7072  2.58288
308  -0.0700856  -0.197015  7.80108  40.3854  2.57793
309  -0.0694819  -0.195502  7.7067  40.0659  2.57302
310  -0.068885  -0.193997  7.61395  39.7485  2.56814
311  -0.0682949  -0.192503  7.52281  39.4333  2.56332
312  -0.0677114  -0.191017  7.43324  39.1204  2.55853
313  -0.0671346  -0.189541  7.34522  38.8096  2.55378
314  -0.0665643  -0.188074  7.25873  38.5009  2.54908
315  -0.0660005  -0.186616  7.17373  38.1945  2.54442
316  -0.0654431  -0.185168  7.09021  37.8902  2.53979
317  -0.064892  -0.183729  7.00813  37.588  2.53521
318  -0.0643472  -0.182299  6.92747  37.2879  2.53067
319  -0.0638087  -0.180878  6.8482  36.99  2.52616
320  -0.0632763  -0.179467  6.77031  36.6941  2.5217
321  -0.0627499  -0.178064  6.69376  36.4004  2.51727
322  -0.0622296  -0.176671  6.61854  36.1087  2.51289
323  -0.0617152  -0.175287  6.54462  35.8191  2.50854
324  -0.0612067  -0.173911  6.47197  35.5315  2.50423
325  -0.060704  -0.172545  6.40059  35.2461  2.49996
326  -0.0602071  -0.171188  6.33043  34.9626  2.49572
327  -0.0597159  -0.16984  6.26149  34.6812  2.49152
328  -0.0592303  -0.168501  6.19374  34.4018  2.48736
329  -0.0587502  -0.16717  6.12715  34.1244  2.48324
330  -0.0582757  -0.165849  6.06172  33.849  2.47915
331  -0.0578066  -0.164536  5.99742  33.5756  2.4751
332  -0.057343  -0.163232  5.93422  33.3041  2.47108
333  -0.0568846  -0.161937  5.87212  33.0346  2.4671
334  -0.0564315  -0.160651  5.81108  32.7671  2.46316
335  -0.0559836  -0.159373  5.7511  32.5015  2.45925
336  -0.0555409  -0.158105  5.69214  32.2379  2.45537
337  -0.0551032  -0.156844  5.63421  31.9761  2.45153
338  -0.0546706  -0.155593  5.57727  31.7163  2.44772
339  -0.054243  -0.15435  5.5213  31.4584  2.44395
340  -0.0538203  -0.153115  5.4663  31.2024  2.44021
341  -0.0534024  -0.151889  5.41225  30.9482  2.43651
342  -0.0529893  -0.150672  5.35912  30.696  2.43283
343  -0.052581  -0.149463  5.3069  30.4455  2.42919
344  -0.0521774  -0.148262  5.25558  30.197  2.42558
345  -0.0517785  -0.14707  5.20513  29.9502  2.42201
346  -0.0513841  -0.145886  5.15555  29.7053  2.41846
347  -0.0509942  -0.144711  5.10682  29.4622  2.41495
348  -0.0506089  -0.143544  5.05892  29.221  2.41147
349  -0.0502279  -0.142385  5.01184  28.9815  2.40802
350  -0.0498514  -0.141234  4.96556  28.7438  2.4046
351  -0.0494791  -0.140091  4.92007  28.5078  2.40121
352  -0.0491112  -0.138956  4.87535  28.2737  2.39786
353  -0.0487474  -0.13783  4.83139  28.0413  2.39453
354  -0.0483879  -0.136712  4.78819  27.8106  2.39123
355  -0.0480324  -0.135601  4.74571  27.5817  2.38796
356  -0.047681  -0.134499  4.70396  27.3544  2.38472
357  -0.0473337  -0.133404  4.66291  27.1289  2.38151
358  -0.0469903  -0.132318  4.62256  26.9052  2.37833
359  -0.0466509  -0.131239  4.5829  26.683  2.37518
360  -0.0463153  -0.130168  4.5439  26.4626  2.37206
361  -0.0459836  -0.129105  4.50556  26.2439  2.36896
362  -0.0456556  -0.128049  4.46787  26.0268  2.36589
363  -0.0453314  -0.127002  4.43081  25.8113  2.36285
364  -0.0450109  -0.125962  4.39438  25.5975  2.35984
365  -0.0446941  -0.124929  4.35855  25.3854  2.35685
366  -0.0443808  -0.123904  4.32333  25.1748  2.35389
367  -0.0440711  -0.122887  4.28871  24.9659  2.35096
368  -0.0437649  -0.121877  4.25466  24.7585  2.34805
369  -0.0434622  -0.120875  4.22118  24.5528  2.34517
370  -0.0431629  -0.11988  4.18826  24.3486  2.34232
371  -0.0428671  -0.118892  4.15589  24.146  2.33949
372  -0.0425745  -0.117912  4.12405  23.9449  2.33669
373  -0.0422853  -0.116939  4.09275  23.7454  2.33391
374  -0.0419993  -0.115974  4.06197  23.5475  2.33116
375  -0.0417165  -0.115015  4.0317  23.3511  2.32843
376  -0.041437  -0.114064  4.00193  23.1562  2.32573
377  -0.0411605  -0.11312  3.97266  22.9628  2.32305
378  -0.0408872  -0.112183  3.94387  22.7709  2.3204
379  -0.0406169  -0.111253  3.91555  22.5805  2.31777
380  -0.0403497  -0.11033  3.8877  22.3915  2.31516
381  -0.0400854  -0.109414  3.86031  22.2041  2.31258
382  -0.0398241  -0.108505  3.83337  22.0181  2.31002
383  -0.0395657  -0.107602  3.80687  21.8336  2.30748
384  -0.0393102  -0.106707  3.7808  21.6505  2.30497
385  -0.0390575  -0.105818  3.75517  21.4688  2.30247
386  -0.0388076  -0.104937  3.72995  21.2885  2.30001
387  -0.0385605  -0.104062  3.70514  21.1097  2.29756
388  -0.0383161  -0.103193  3.68073  20.9323  2.29514
389  -0.0380744  -0.102332  3.65673  20.7562  2.29273
390  -0.0378353  -0.101476  3.63311  20.5816  2.29035
391  -0.0375989  -0.100628  3.60987  20.4083  2.28799
392  -0.0373651  -0.0997859  3.58702  20.2364  2.28566
393  -0.0371338  -0.0989504  3.56453  20.0659  2.28334
394  -0.0369051  -0.0981213  3.5424  19.8966  2.28104
395  -0.0366788  -0.0972985  3.52063  19.7288  2.27877
396  -0.036455  -0.0964822  3.49921  19.5622  2.27651
397  -0.0362336  -0.0956722  3.47813  19.397  2.27428
398  -0.0360147  -0.0948684  3.45739  19.2331  2.27206
399  -0.035798  -0.0940709  3.43698  19.0705  2.26987
400  -0.0355838  -0.0932796  3.4169  18.9092  2.26769
401  -0.0353718  -0.0924945  3.39714  18.7491  2.26554
402  -0.0351621  -0.0917154  3.37769  18.5904  2.2634
403  -0.0349546  -0.0909425  3.35855  18.4329  2.26129
404  -0.0347493  -0.0901756  3.33971  18.2766  2.25919
405  -0.0345463  -0.0894146  3.32117  18.1216  2.25711
406  -0.0343454  -0.0886597  3.30293  17.9679  2.25505
407  -0.0341466  -0.0879106  3.28497  17.8153  2.25301
408  -0.0339499  -0.0871674  3.2673  17.664  2.25099
409  -0.0337553  -0.0864301  3.2499  17.5139  2.24898
410  -0.0335627  -0.0856986  3.23277  17.365  2.24699
411  -0.0333721  -0.0849728  3.21591  17.2173  2.24502
412  -0.0331835  -0.0842528  3.19932  17.0708  2.24307
413  -0.0329969  -0.0835384  3.18298  16.9254  2.24114
414  -0.0328122  -0.0828297  3.1669  16.7813  2.23922
415  -0.0326295  -0.0821266  3.15107  16.6382  2.23732
416  -0.0324486  -0.081429  3.13548  16.4964  2.23544
417  -0.0322695  -0.080737  3.12013  16.3557  2.23357
418  -0.0320924  -0.0800505  3.10502  16.2161  2.23172
419  -0.031917  -0.0793694  3.09014  16.0776  2.22989
420  -0.0317434  -0.0786937  3.0755  15.9403  2.22807
421  -0.0315715  -0.0780234  3.06107  15.804  2.22627
422  -0.0314014  -0.0773584  3.04687  15.6689  2.22449
423  -0.031233  -0.0766988  3.03288  15.5349  2.22272
424  -0.0310663  -0.0760444  3.01911  15.4019  2.22097
425  -0.0309013  -0.0753952  3.00554  15.27  2.21923
426  -0.0307379  -0.0747512  2.99218  15.1392  2.21751
427  -0.0305762  -0.0741124  2.97903  15.0095  2.2158
428  -0.030416  -0.0734786  2.96607  14.8808  2.21411
429  -0.0302574  -0.07285  2.95331  14.7531  2.21244
430  -0.0301004  -0.0722264  2.94074  14.6265  2.21078
431  -0.0299449  -0.0716078  2.92836  14.5009  2.20913
432  -0.0297909  -0.0709941  2.91616  14.3763  2.2075
433  -0.0296385  -0.0703854  2.90415  14.2528  2.20588
434  -0.0294875  -0.0697816  2.89232  14.1302  2.20428
435  -0.0293379  -0.0691827  2.88066  14.0087  2.20269
436  -0.0291898  -0.0685885  2.86917  13.8881  2.20111
437  -0.0290431  -0.0679992  2.85786  13.7685  2.19955
438  -0.0288978  -0.0674146  2.84671  13.6499  2.198
439  -0.0287539  -0.0668347  2.83573  13.5323  2.19647
440  -0.0286113  -0.0662595  2.82491  13.4156  2.19495
441  -0.02847  -0.0656889  2.81425  13.2999  2.19344
442  -0.0283301  -0.065123  2.80374  13.1851  2.19195
443  -0.0281915  -0.0645617  2.79339  13.0713  2.19047
444  -0.0280542  -0.0640048  2.78319  12.9584  2.189
445  -0.0279181  -0.0634525  2.77314  12.8464  2.18755
446  -0.0277833  -0.0629047  2.76324  12.7353  2.1861
447  -0.0276497  -0.0623613  2.75348  12.6252  2.18468
448  -0.0275174  -0.0618223  2.74385  12.5159  2.18326
449  -0.0273862  -0.0612877  2.73437  12.4075  2.18185
450  -0.0272562  -0.0607575  2.72503  12.3001  2.18046
451  -0.0271274  -0.0602315  2.71582  12.1935  2.17908
452  -0.0269997  -0.0597098  2.70674  12.0878  2.17771
453  -0.0268731  -0.0591924  2.69779  11.9829  2.17636
454  -0.0267477  -0.0586792  2.68897  11.8789  2.17501
455  -0.0266234  -0.0581701  2.68028  11.7758  2.17368
456  -0.0265001  -0.0576652  2.67171  11.6735  2.17236
457  -0.0263779  -0.0571644  2.66326  11.572  2.17105
458  -0.0262568  -0.0566677  2.65493  11.4714  2.16975
459  -0.0261367  -0.056175  2.64672  11.3716  2.16846
460  -0.0260177  -0.0556864  2.63862  11.2727  2.16719
461  -0.0258997  -0.0552017  2.63064  11.1745  2.16592
462  -0.0257826  -0.054721  2.62277  11.0772  2.16467
463  -0.0256665  -0.0542443  2.61501  10.9806  2.16342
464  -0.0255515  -0.0537714  2.60736  10.8849  2.16219
465  -0.0254373  -0.0533024  2.59982  10.7899  2.16097
466  -0.0253241  -0.0528372  2.59238  10.6957  2.15976
467  -0.0252119  -0.0523758  2.58504  10.6023  2.15855
468  -0.0251005  -0.0519182  2.57781  10.5097  2.15736
469  -0.0249901  -0.0514644  2.57067  10.4178  2.15618
470  -0.0248805  -0.0510142  2.56364  10.3266  2.15501
471  -0.0247719  -0.0505677  2.5567  10.2363  2.15385
472  -0.024664  -0.0501249  2.54985  10.1467  2.1527
473  -0.0245571  -0.0496858  2.5431  10.0578  2.15156
474  -0.024451  -0.0492502  2.53644  9.96961  2.15043
475  -0.0243457  -0.0488182  2.52988  9.88218  2.1493
476  -0.0242412  -0.0483897  2.5234  9.79546  2.14819
477  -0.0241376  -0.0479647  2.51701  9.70947  2.14709
478  -0.0240347  -0.0475432  2.51071  9.62418  2.14599
479  -0.0239326  -0.0471252  2.50449  9.5396  2.14491
480  -0.0238313  -0.0467106  2.49836  9.45571  2.14383
481  -0.0237307  -0.0462994  2.4923  9.37251  2.14277
482  -0.0236309  -0.0458916  2.48633  9.29  2.14171
483  -0.0235319  -0.0454871  2.48044  9.20817  2.14066
