# n      x1       x2       g1      g2

2040000  0.586836  0.342333  0.346519  0.40861
2050000  0.588123  0.343853  0.344562  0.407191
2060000  0.589403  0.345367  0.342624  0.405778
2070000  0.590676  0.346876  0.340705  0.404373
2080000  0.591941  0.34838  0.338804  0.402976
2090000  0.5932  0.349878  0.336922  0.401585
2100000  0.594452  0.351372  0.335057  0.400202
2110000  0.595697  0.35286  0.33321  0.398826
2120000  0.596934  0.354343  0.331381  0.397457
2130000  0.598166  0.355821  0.329568  0.396096
2140000  0.59939  0.357295  0.327773  0.394741
2150000  0.600608  0.358763  0.325994  0.393393
2160000  0.601819  0.360226  0.324232  0.392053
2170000  0.603023  0.361684  0.322486  0.390719
2180000  0.604221  0.363137  0.320757  0.389392
2190000  0.605413  0.364585  0.319043  0.388073
2200000  0.606599  0.366028  0.317345  0.386759
2210000  0.607778  0.367466  0.315662  0.385453
2220000  0.60895  0.3689  0.313994  0.384154
2230000  0.610117  0.370329  0.312342  0.382861
2240000  0.611278  0.371752  0.310704  0.381575
2250000  0.612432  0.373172  0.309081  0.380295
2260000  0.61358  0.374586  0.307472  0.379022
2270000  0.614723  0.375995  0.305878  0.377756
2280000  0.615859  0.3774  0.304298  0.376496
2290000  0.61699  0.378801  0.302731  0.375242
2300000  0.618115  0.380196  0.301178  0.373995
2310000  0.619234  0.381587  0.299639  0.372755
2320000  0.620347  0.382973  0.298113  0.37152
2330000  0.621455  0.384355  0.296601  0.370292
2340000  0.622557  0.385732  0.295101  0.369071
2350000  0.623654  0.387105  0.293614  0.367855
2360000  0.624745  0.388473  0.29214  0.366646
2370000  0.625831  0.389837  0.290679  0.365442
2380000  0.626911  0.391196  0.28923  0.364245
2390000  0.627985  0.392551  0.287793  0.363054
2400000  0.629055  0.393901  0.286368  0.361869
2410000  0.630119  0.395247  0.284955  0.36069
2420000  0.631178  0.396588  0.283554  0.359516
2430000  0.632232  0.397925  0.282164  0.358349
2440000  0.63328  0.399258  0.280786  0.357188
2450000  0.634324  0.400587  0.279419  0.356032
2460000  0.635362  0.401911  0.278064  0.354882
2470000  0.636396  0.403231  0.27672  0.353738
2480000  0.637424  0.404546  0.275386  0.3526
2490000  0.638447  0.405858  0.274064  0.351467
2500000  0.639466  0.407165  0.272752  0.35034
2510000  0.64048  0.408468  0.27145  0.349218
2520000  0.641488  0.409767  0.270159  0.348102
2530000  0.642492  0.411062  0.268879  0.346992
2540000  0.643492  0.412352  0.267608  0.345887
2550000  0.644486  0.413639  0.266348  0.344788
2560000  0.645476  0.414921  0.265098  0.343693
2570000  0.646461  0.416199  0.263857  0.342605
2580000  0.647442  0.417474  0.262626  0.341521
2590000  0.648418  0.418744  0.261405  0.340443
2600000  0.64939  0.42001  0.260194  0.33937
2610000  0.650357  0.421272  0.258991  0.338303
2620000  0.651319  0.422531  0.257798  0.337241
2630000  0.652277  0.423785  0.256615  0.336183
2640000  0.653231  0.425035  0.25544  0.335131
2650000  0.654181  0.426282  0.254274  0.334084
2660000  0.655126  0.427525  0.253117  0.333042
2670000  0.656067  0.428763  0.251969  0.332005
2680000  0.657003  0.429998  0.25083  0.330974
2690000  0.657935  0.431229  0.249699  0.329947
2700000  0.658863  0.432456  0.248577  0.328925
2710000  0.659787  0.43368  0.247463  0.327907
2720000  0.660707  0.4349  0.246357  0.326895
2730000  0.661623  0.436115  0.24526  0.325888
2740000  0.662535  0.437328  0.24417  0.324885
2750000  0.663442  0.438536  0.243089  0.323887
2760000  0.664346  0.439741  0.242016  0.322894
2770000  0.665245  0.440942  0.24095  0.321906
2780000  0.666141  0.442139  0.239893  0.320922
2790000  0.667033  0.443333  0.238843  0.319943
2800000  0.667921  0.444523  0.237801  0.318969
2810000  0.668804  0.445709  0.236766  0.317999
2820000  0.669685  0.446892  0.235738  0.317033
2830000  0.670561  0.448071  0.234718  0.316073
2840000  0.671433  0.449247  0.233706  0.315116
2850000  0.672302  0.450419  0.2327  0.314164
2860000  0.673167  0.451588  0.231702  0.313217
2870000  0.674028  0.452753  0.230711  0.312274
2880000  0.674886  0.453915  0.229726  0.311335
2890000  0.67574  0.455073  0.228749  0.310401
2900000  0.67659  0.456227  0.227779  0.309471
2910000  0.677437  0.457378  0.226815  0.308545
2920000  0.67828  0.458526  0.225858  0.307624
2930000  0.67912  0.45967  0.224907  0.306707
2940000  0.679956  0.460811  0.223964  0.305794
2950000  0.680789  0.461949  0.223026  0.304885
2960000  0.681618  0.463083  0.222096  0.30398
2970000  0.682443  0.464213  0.221171  0.30308
2980000  0.683266  0.465341  0.220253  0.302183
2990000  0.684084  0.466465  0.219341  0.301291
3000000  0.6849  0.467586  0.218435  0.300402
3010000  0.685712  0.468703  0.217536  0.299518
3020000  0.686521  0.469817  0.216642  0.298638
3030000  0.687326  0.470928  0.215755  0.297761
3040000  0.688128  0.472036  0.214873  0.296889
3050000  0.688927  0.47314  0.213998  0.296021
3060000  0.689722  0.474241  0.213128  0.295156
3070000  0.690515  0.475339  0.212264  0.294295
3080000  0.691304  0.476434  0.211405  0.293438
3090000  0.69209  0.477526  0.210553  0.292585
3100000  0.692873  0.478614  0.209706  0.291736
3110000  0.693652  0.479699  0.208864  0.29089
3120000  0.694429  0.480781  0.208028  0.290049
3130000  0.695202  0.48186  0.207198  0.289211
3140000  0.695973  0.482936  0.206372  0.288376
3150000  0.69674  0.484009  0.205552  0.287546
3160000  0.697504  0.485078  0.204738  0.286719
3170000  0.698265  0.486145  0.203929  0.285895
3180000  0.699024  0.487208  0.203124  0.285075
3190000  0.699779  0.488269  0.202326  0.284259
3200000  0.700531  0.489326  0.201532  0.283447
3210000  0.70128  0.490381  0.200743  0.282638
3220000  0.702027  0.491432  0.199959  0.281832
3230000  0.70277  0.492481  0.19918  0.28103
3240000  0.703511  0.493526  0.198406  0.280231
3250000  0.704248  0.494568  0.197637  0.279436
3260000  0.704983  0.495608  0.196873  0.278644
3270000  0.705715  0.496645  0.196113  0.277856
3280000  0.706444  0.497678  0.195358  0.277071
3290000  0.707171  0.498709  0.194608  0.276289
3300000  0.707894  0.499737  0.193863  0.275511
3310000  0.708615  0.500762  0.193122  0.274736
3320000  0.709333  0.501784  0.192386  0.273965
3330000  0.710048  0.502803  0.191654  0.273196
3340000  0.710761  0.503819  0.190927  0.272431
3350000  0.711471  0.504833  0.190204  0.271669
3360000  0.712178  0.505843  0.189485  0.270911
3370000  0.712883  0.506851  0.188771  0.270155
3380000  0.713585  0.507856  0.188061  0.269403
3390000  0.714284  0.508858  0.187356  0.268654
3400000  0.714981  0.509858  0.186655  0.267908
3410000  0.715675  0.510854  0.185958  0.267165
3420000  0.716366  0.511848  0.185265  0.266426
3430000  0.717055  0.512839  0.184576  0.265689
3440000  0.717741  0.513828  0.183891  0.264955
3450000  0.718425  0.514813  0.183211  0.264225
3460000  0.719106  0.515796  0.182534  0.263497
3470000  0.719785  0.516777  0.181862  0.262773
3480000  0.720461  0.517754  0.181193  0.262052
3490000  0.721135  0.518729  0.180528  0.261333
3500000  0.721806  0.519701  0.179868  0.260618
3510000  0.722475  0.520671  0.179211  0.259905
3520000  0.723142  0.521638  0.178558  0.259195
3530000  0.723806  0.522602  0.177908  0.258489
3540000  0.724467  0.523564  0.177263  0.257785
3550000  0.725126  0.524523  0.176621  0.257084
3560000  0.725783  0.525479  0.175983  0.256386
3570000  0.726437  0.526433  0.175348  0.25569
3580000  0.727089  0.527384  0.174717  0.254998
3590000  0.727739  0.528333  0.17409  0.254308
3600000  0.728387  0.529279  0.173467  0.253621
3610000  0.729032  0.530222  0.172846  0.252937
3620000  0.729674  0.531163  0.17223  0.252256
3630000  0.730315  0.532102  0.171617  0.251577
3640000  0.730953  0.533038  0.171007  0.250902
3650000  0.731589  0.533971  0.170401  0.250228
3660000  0.732223  0.534902  0.169798  0.249558
3670000  0.732854  0.535831  0.169199  0.24889
3680000  0.733483  0.536757  0.168602  0.248225
3690000  0.73411  0.53768  0.16801  0.247563
3700000  0.734735  0.538601  0.16742  0.246903
3710000  0.735358  0.53952  0.166834  0.246245
3720000  0.735978  0.540436  0.166251  0.245591
3730000  0.736596  0.541349  0.165671  0.244939
3740000  0.737212  0.542261  0.165094  0.244289
3750000  0.737826  0.543169  0.164521  0.243642
3760000  0.738438  0.544076  0.163951  0.242998
3770000  0.739048  0.54498  0.163383  0.242356
3780000  0.739655  0.545882  0.162819  0.241717
3790000  0.740261  0.546781  0.162258  0.24108
3800000  0.740864  0.547678  0.1617  0.240445
3810000  0.741466  0.548572  0.161145  0.239813
3820000  0.742065  0.549465  0.160593  0.239184
3830000  0.742662  0.550354  0.160044  0.238557
3840000  0.743257  0.551242  0.159498  0.237932
3850000  0.743851  0.552127  0.158955  0.23731
3860000  0.744442  0.55301  0.158414  0.23669
3870000  0.745031  0.553891  0.157877  0.236073
3880000  0.745618  0.554769  0.157342  0.235458
3890000  0.746203  0.555645  0.15681  0.234845
3900000  0.746786  0.556519  0.156281  0.234235
3910000  0.747368  0.55739  0.155755  0.233627
3920000  0.747947  0.558259  0.155232  0.233022
3930000  0.748524  0.559126  0.154711  0.232418
3940000  0.7491  0.559991  0.154193  0.231817
3950000  0.749673  0.560853  0.153678  0.231218
3960000  0.750245  0.561714  0.153165  0.230622
3970000  0.750814  0.562572  0.152655  0.230028
3980000  0.751382  0.563428  0.152148  0.229436
3990000  0.751948  0.564281  0.151643  0.228846
4000000  0.752512  0.565133  0.151141  0.228258
4010000  0.753074  0.565982  0.150642  0.227673
4020000  0.753634  0.566829  0.150145  0.22709
4030000  0.754192  0.567674  0.149651  0.226509
4040000  0.754749  0.568517  0.149159  0.22593
4050000  0.755304  0.569357  0.148669  0.225354
4060000  0.755857  0.570196  0.148183  0.224779
4070000  0.756408  0.571032  0.147698  0.224207
4080000  0.756957  0.571866  0.147216  0.223637
4090000  0.757505  0.572698  0.146737  0.223069
4100000  0.75805  0.573528  0.14626  0.222503
4110000  0.758594  0.574356  0.145785  0.221939
4120000  0.759137  0.575182  0.145313  0.221377
4130000  0.759677  0.576005  0.144843  0.220817
4140000  0.760216  0.576827  0.144375  0.220259
4150000  0.760753  0.577646  0.14391  0.219704
4160000  0.761288  0.578464  0.143447  0.21915
4170000  0.761822  0.579279  0.142986  0.218599
4180000  0.762353  0.580092  0.142528  0.218049
4190000  0.762883  0.580904  0.142071  0.217501
4200000  0.763412  0.581713  0.141617  0.216956
4210000  0.763939  0.58252  0.141166  0.216412
4220000  0.764464  0.583325  0.140716  0.215871
4230000  0.764987  0.584128  0.140269  0.215331
4240000  0.765509  0.58493  0.139824  0.214793
4250000  0.766029  0.585729  0.139381  0.214258
4260000  0.766547  0.586526  0.13894  0.213724
4270000  0.767064  0.587321  0.138502  0.213192
4280000  0.767579  0.588114  0.138065  0.212662
4290000  0.768093  0.588906  0.137631  0.212134
4300000  0.768605  0.589695  0.137198  0.211608
4310000  0.769115  0.590482  0.136768  0.211083
4320000  0.769624  0.591268  0.13634  0.210561
4330000  0.770131  0.592051  0.135914  0.21004
4340000  0.770636  0.592833  0.13549  0.209521
4350000  0.77114  0.593612  0.135068  0.209005
4360000  0.771643  0.59439  0.134647  0.20849
4370000  0.772143  0.595165  0.134229  0.207976
4380000  0.772643  0.595939  0.133813  0.207465
4390000  0.77314  0.596711  0.133399  0.206955
4400000  0.773637  0.597481  0.132987  0.206447
4410000  0.774131  0.598249  0.132577  0.205941
4420000  0.774624  0.599016  0.132168  0.205437
4430000  0.775116  0.59978  0.131762  0.204935
4440000  0.775606  0.600543  0.131357  0.204434
4450000  0.776095  0.601303  0.130955  0.203935
4460000  0.776582  0.602062  0.130554  0.203438
4470000  0.777067  0.602819  0.130155  0.202942
4480000  0.777551  0.603574  0.129758  0.202448
4490000  0.778034  0.604327  0.129363  0.201956
4500000  0.778515  0.605079  0.128969  0.201466
4510000  0.778995  0.605828  0.128578  0.200977
4520000  0.779473  0.606576  0.128188  0.20049
4530000  0.77995  0.607322  0.1278  0.200005
4540000  0.780425  0.608066  0.127414  0.199522
4550000  0.780899  0.608809  0.127029  0.19904
4560000  0.781372  0.609549  0.126646  0.198559
4570000  0.781843  0.610288  0.126265  0.198081
4580000  0.782313  0.611025  0.125886  0.197604
4590000  0.782781  0.61176  0.125509  0.197128
4600000  0.783248  0.612494  0.125133  0.196655
4610000  0.783713  0.613225  0.124759  0.196182
4620000  0.784177  0.613955  0.124386  0.195712
4630000  0.78464  0.614684  0.124015  0.195243
4640000  0.785101  0.61541  0.123646  0.194776
4650000  0.785561  0.616135  0.123279  0.19431
4660000  0.78602  0.616858  0.122913  0.193846
4670000  0.786477  0.617579  0.122549  0.193383
4680000  0.786933  0.618299  0.122186  0.192922
4690000  0.787387  0.619016  0.121825  0.192463
4700000  0.78784  0.619733  0.121466  0.192005
4710000  0.788292  0.620447  0.121108  0.191548
4720000  0.788743  0.62116  0.120752  0.191093
4730000  0.789192  0.621871  0.120397  0.19064
4740000  0.78964  0.62258  0.120044  0.190188
4750000  0.790086  0.623288  0.119692  0.189738
4760000  0.790532  0.623994  0.119342  0.189289
4770000  0.790976  0.624698  0.118994  0.188842
4780000  0.791418  0.625401  0.118647  0.188396
4790000  0.79186  0.626102  0.118301  0.187952
4800000  0.7923  0.626801  0.117958  0.187509
4810000  0.792738  0.627499  0.117615  0.187067
4820000  0.793176  0.628195  0.117274  0.186627
4830000  0.793612  0.628889  0.116935  0.186189
4840000  0.794047  0.629582  0.116597  0.185752
4850000  0.794481  0.630273  0.11626  0.185316
4860000  0.794913  0.630963  0.115925  0.184882
4870000  0.795345  0.631651  0.115591  0.184449
4880000  0.795775  0.632337  0.115259  0.184018
4890000  0.796203  0.633022  0.114928  0.183588
4900000  0.796631  0.633705  0.114598  0.18316
4910000  0.797057  0.634386  0.11427  0.182732
4920000  0.797482  0.635066  0.113944  0.182307
4930000  0.797906  0.635745  0.113618  0.181882
4940000  0.798329  0.636422  0.113295  0.181459
4950000  0.79875  0.637097  0.112972  0.181038
4960000  0.79917  0.63777  0.112651  0.180618
