# n      x1       x2       g1      g2

194  -0.204179  -0.430948  41.0095  94.5275
195  -0.202245  -0.428409  40.3709  93.8624
196  -0.200328  -0.425877  39.7425  93.2016
197  -0.198428  -0.423352  39.124  92.5451
198  -0.196545  -0.420835  38.5154  91.893
199  -0.194679  -0.418325  37.9164  91.245
200  -0.19283  -0.415823  37.327  90.6013
201  -0.190997  -0.413329  36.747  89.9617
202  -0.189181  -0.410842  36.1762  89.3263
203  -0.187382  -0.408363  35.6145  88.695
204  -0.185599  -0.405891  35.0618  88.0677
205  -0.183832  -0.403428  34.5178  87.4444
206  -0.182081  -0.400972  33.9826  86.8251
207  -0.180346  -0.398524  33.4559  86.2097
208  -0.178627  -0.396084  32.9376  85.5983
209  -0.176924  -0.393652  32.4276  84.9907
210  -0.175236  -0.391227  31.9258  84.387
211  -0.173564  -0.388811  31.432  83.7871
212  -0.171907  -0.386403  30.9461  83.191
213  -0.170266  -0.384003  30.4681  82.5986
214  -0.16864  -0.38161  29.9976  82.01
215  -0.167029  -0.379226  29.5348  81.425
216  -0.165433  -0.376851  29.0794  80.8437
217  -0.163852  -0.374483  28.6313  80.2661
218  -0.162286  -0.372124  28.1904  79.6921
219  -0.160734  -0.369773  27.7566  79.1216
220  -0.159197  -0.36743  27.3298  78.5547
221  -0.157675  -0.365095  26.9099  77.9914
222  -0.156167  -0.362769  26.4968  77.4315
223  -0.154673  -0.360452  26.0904  76.8751
224  -0.153193  -0.358143  25.6906  76.3222
225  -0.151728  -0.355842  25.2972  75.7727
226  -0.150277  -0.35355  24.9102  75.2266
227  -0.148839  -0.351266  24.5295  74.6839
228  -0.147415  -0.348992  24.155  74.1446
229  -0.146005  -0.346725  23.7865  73.6086
230  -0.144609  -0.344468  23.4241  73.0759
231  -0.143226  -0.342219  23.0676  72.5465
232  -0.141856  -0.339979  22.7168  72.0204
233  -0.1405  -0.337747  22.3718  71.4975
234  -0.139157  -0.335525  22.0325  70.9779
235  -0.137827  -0.333311  21.6987  70.4615
236  -0.13651  -0.331106  21.3704  69.9483
237  -0.135206  -0.32891  21.0474  69.4382
238  -0.133915  -0.326723  20.7297  68.9313
239  -0.132636  -0.324545  20.4173  68.4276
240  -0.131371  -0.322376  20.11  67.9269
241  -0.130117  -0.320216  19.8078  67.4294
242  -0.128877  -0.318065  19.5105  66.9349
243  -0.127648  -0.315924  19.2182  66.4435
244  -0.126432  -0.313791  18.9306  65.9552
245  -0.125228  -0.311667  18.6478  65.4699
246  -0.124036  -0.309553  18.3697  64.9876
247  -0.122856  -0.307448  18.0963  64.5083
248  -0.121688  -0.305352  17.8273  64.032
249  -0.120532  -0.303265  17.5628  63.5586
250  -0.119387  -0.301188  17.3027  63.0882
251  -0.118255  -0.299119  17.0469  62.6207
252  -0.117133  -0.297061  16.7954  62.1561
253  -0.116023  -0.295011  16.5481  61.6945
254  -0.114925  -0.292971  16.3049  61.2357
255  -0.113837  -0.29094  16.0658  60.7798
256  -0.112761  -0.288919  15.8306  60.3268
257  -0.111696  -0.286907  15.5994  59.8766
258  -0.110642  -0.284904  15.3721  59.4292
259  -0.109599  -0.282911  15.1486  58.9846
260  -0.108567  -0.280928  14.9288  58.5429
261  -0.107545  -0.278954  14.7127  58.1039
262  -0.106534  -0.276989  14.5003  57.6677
263  -0.105534  -0.275034  14.2914  57.2343
264  -0.104544  -0.273089  14.0861  56.8036
265  -0.103564  -0.271153  13.8842  56.3756
266  -0.102595  -0.269226  13.6857  55.9504
267  -0.101636  -0.267309  13.4906  55.5279
268  -0.100687  -0.265402  13.2988  55.108
269  -0.0997483  -0.263505  13.1102  54.6909
270  -0.0988194  -0.261617  12.9248  54.2764
271  -0.0979003  -0.259738  12.7426  53.8646
272  -0.096991  -0.25787  12.5634  53.4554
273  -0.0960915  -0.25601  12.3873  53.0488
274  -0.0952015  -0.254161  12.2142  52.6449
275  -0.0943211  -0.252321  12.044  52.2435
276  -0.0934501  -0.250491  11.8767  51.8448
277  -0.0925884  -0.248671  11.7123  51.4486
278  -0.0917361  -0.24686  11.5507  51.0551
279  -0.090893  -0.245059  11.3918  50.664
280  -0.0900589  -0.243267  11.2357  50.2755
281  -0.0892339  -0.241485  11.0822  49.8896
282  -0.0884179  -0.239713  10.9313  49.5062
283  -0.0876107  -0.237951  10.7831  49.1253
284  -0.0868124  -0.236198  10.6373  48.7469
285  -0.0860227  -0.234455  10.4941  48.3709
286  -0.0852417  -0.232721  10.3533  47.9975
287  -0.0844692  -0.230997  10.2149  47.6265
288  -0.0837052  -0.229283  10.0789  47.258
289  -0.0829496  -0.227579  9.94526  46.8919
290  -0.0822023  -0.225884  9.81389  46.5282
291  -0.0814632  -0.224199  9.68478  46.167
292  -0.0807323  -0.222523  9.5579  45.8082
293  -0.0800095  -0.220857  9.43319  45.4517
294  -0.0792947  -0.219201  9.31064  45.0977
295  -0.0785878  -0.217554  9.19019  44.746
296  -0.0778888  -0.215917  9.07182  44.3967
297  -0.0771975  -0.214289  8.95549  44.0498
298  -0.076514  -0.212671  8.84117  43.7051
299  -0.0758381  -0.211063  8.72882  43.3629
300  -0.0751697  -0.209464  8.61841  43.0229
301  -0.0745088  -0.207875  8.5099  42.6853
302  -0.0738553  -0.206295  8.40327  42.3499
303  -0.0732091  -0.204725  8.29848  42.0168
304  -0.0725702  -0.203164  8.1955  41.686
305  -0.0719385  -0.201612  8.0943  41.3575
306  -0.0713138  -0.200071  7.99485  41.0313
307  -0.0706962  -0.198538  7.89712  40.7072
308  -0.0700856  -0.197015  7.80108  40.3854
309  -0.0694819  -0.195502  7.7067  40.0659
310  -0.068885  -0.193997  7.61395  39.7485
311  -0.0682949  -0.192503  7.52281  39.4333
312  -0.0677114  -0.191017  7.43324  39.1204
